min	max	count
59	59	1
60	60	2
61	61	6
62	62	54
63	63	74
64	64	63
65	65	133
66	66	113
67	67	144
68	68	170
69	69	227
70	70	273
71	71	261
72	72	253
73	73	268
74	74	291
75	75	317
76	76	337
77	77	363
78	78	501
79	79	691
80	80	1027
81	81	1004
82	82	793
83	83	676
84	84	645
85	85	695
86	86	717
87	87	800
88	88	947
89	89	1328
90	90	1834
91	91	2258
92	92	2231
93	93	1963
94	94	1723
95	95	1542
96	96	1694
97	97	1935
98	98	2242
99	99	2930
100	100	3410
101	101	3834
102	102	3844
103	103	3945
104	104	3686
105	105	3669
106	106	3798
107	107	3962
108	108	4339
109	109	5003
110	110	5603
111	111	6331
112	112	6489
113	113	5713
114	114	5383
115	115	5322
116	116	5730
117	117	6071
118	118	6381
119	119	7511
120	120	9204
121	121	11497
122	122	13150
123	123	12245
124	124	10242
125	125	9034
126	126	8893
127	127	9430
128	128	10237
129	129	11869
130	130	14435
131	131	18780
132	132	23673
133	133	28536
134	134	29350
135	135	27288
136	136	25732
137	137	27388
138	138	31572
139	139	37643
140	140	44585
141	141	51013
142	142	53868
143	143	57012
144	144	58191
145	145	60770
146	146	62838
147	147	64070
148	148	66312
149	149	69878
150	150	74601
151	151	80815
152	152	86240
153	153	87681
154	154	87551
155	155	90080
156	156	95178
157	157	102655
158	158	110788
159	159	120208
160	160	127378
161	161	135366
162	162	143322
163	163	157071
164	164	174755
165	165	187186
166	166	191540
167	167	192056
168	168	189771
169	169	184459
170	170	177415
171	171	169736
172	172	162189
173	173	158173
174	174	154177
175	175	150337
176	176	145367
177	177	138979
178	178	129820
179	179	119618
180	180	109811
181	181	98984
182	182	91689
183	183	84728
184	184	79513
185	185	75284
186	186	71615
187	187	68573
188	188	64982
189	189	60233
190	190	55668
191	191	51505
192	192	46964
193	193	42444
194	194	39272
195	195	36973
196	196	34817
197	197	33384
198	198	31369
199	199	29709
200	200	28273
201	201	26297
202	202	24180
203	203	22245
204	204	20559
205	205	19256
206	206	17663
207	207	16812
208	208	15804
209	209	15450
210	210	14123
211	211	13491
212	212	12540
213	213	11498
214	214	10609
215	215	9687
216	216	8807
217	217	8432
218	218	8047
219	219	7449
220	220	7100
221	221	6791
222	222	6192
223	223	5964
224	224	5568
225	225	5088
226	226	4739
227	227	4636
228	228	4313
229	229	4212
230	230	4068
231	231	3985
232	232	3645
233	233	3503
234	234	3268
235	235	3245
236	236	3023
237	237	2855
238	238	2911
239	239	2901
240	240	2795
241	241	2713
242	242	2774
243	243	2709
244	244	2640
245	245	2657
246	246	2522
247	247	2580
248	248	2576
249	249	2597
250	250	2595
251	251	2564
252	252	2568
253	253	2636
254	254	2681
255	255	2649
256	256	2530
257	257	2650
258	258	2616
259	259	2645
260	260	2575
261	261	2498
262	262	2589
263	263	2628
264	264	2649
265	265	2715
266	266	2740
267	267	2696
268	268	2646
269	269	2638
270	270	2775
271	271	2810
272	272	2871
273	273	2909
274	274	3080
275	275	2973
276	276	3011
277	277	3005
278	278	3026
279	279	3113
280	280	3210
281	281	3473
282	282	3411
283	283	3406
284	284	3570
285	285	3565
286	286	3757
287	287	3834
288	288	4313
289	289	4425
290	290	3382
291	291	3621
292	292	4125
293	293	3887
294	294	206
295	295	214
296	296	239
297	297	209
