min	max	count
62	62	113
63	63	132
64	64	138
65	65	164
66	66	185
67	67	226
68	68	345
69	69	526
70	70	640
71	71	589
72	72	588
73	73	591
74	74	617
75	75	744
76	76	857
77	77	1036
78	78	1502
79	79	2385
80	80	3332
81	81	3353
82	82	2621
83	83	2166
84	84	2115
85	85	2208
86	86	2478
87	87	2788
88	88	3543
89	89	5118
90	90	7656
91	91	9366
92	92	9184
93	93	7706
94	94	6532
95	95	6184
96	96	6239
97	97	7248
98	98	8963
99	99	11826
100	100	14491
101	101	15810
102	102	16547
103	103	16088
104	104	15445
105	105	14933
106	106	15188
107	107	16085
108	108	17619
109	109	20993
110	110	25403
111	111	28584
112	112	29284
113	113	26221
114	114	23461
115	115	23372
116	116	25199
117	117	26634
118	118	28982
119	119	33432
120	120	41849
121	121	52864
122	122	59397
123	123	55921
124	124	46505
125	125	39525
126	126	37753
127	127	39131
128	128	41977
129	129	47350
130	130	56034
131	131	69725
132	132	87728
133	133	104593
134	134	105925
135	135	95338
136	136	87111
137	137	88241
138	138	96862
139	139	112183
140	140	129526
141	141	144002
142	142	148288
143	143	149376
144	144	148744
145	145	150612
146	146	149686
147	147	145054
148	148	143563
149	149	145125
150	150	148541
151	151	156346
152	152	160938
153	153	157054
154	154	148918
155	155	147247
156	156	147688
157	157	152721
158	158	157730
159	159	163899
160	160	167101
161	161	168152
162	162	170343
163	163	179289
164	164	188615
165	165	194275
166	166	191493
167	167	185982
168	168	177156
169	169	167462
170	170	155998
171	171	143745
172	172	133016
173	173	125235
174	174	117899
175	175	111342
176	176	105193
177	177	97860
178	178	89847
179	179	83089
180	180	74062
181	181	66660
182	182	60384
183	183	54575
184	184	49389
185	185	45748
186	186	42651
187	187	40141
188	188	37466
189	189	34306
190	190	30819
191	191	28180
192	192	25099
193	193	23130
194	194	20439
195	195	19008
196	196	17464
197	197	16489
198	198	15271
199	199	14177
200	200	13430
201	201	12302
202	202	11139
203	203	10470
204	204	9290
205	205	8380
206	206	7807
207	207	7085
208	208	6615
209	209	6158
210	210	5762
211	211	5291
212	212	4923
213	213	4370
214	214	4045
215	215	3670
216	216	3322
217	217	3019
218	218	2876
219	219	2695
220	220	2569
221	221	2433
222	222	2236
223	223	2043
224	224	1886
225	225	1686
226	226	1568
227	227	1508
228	228	1369
229	229	1312
230	230	1218
231	231	1119
232	232	1046
233	233	1051
234	234	929
235	235	878
236	236	840
237	237	787
238	238	812
239	239	670
240	240	724
241	241	687
242	242	715
243	243	689
244	244	600
245	245	617
246	246	584
247	247	598
248	248	591
249	249	574
250	250	702
251	251	572
