min	max	count
71	71	472
72	72	490
73	73	489
74	74	632
75	75	608
76	76	681
77	77	796
78	78	989
79	79	1283
80	80	1653
81	81	1628
82	82	1302
83	83	990
84	84	972
85	85	1062
86	86	1119
87	87	1290
88	88	1481
89	89	2068
90	90	2654
91	91	3116
92	92	2963
93	93	2423
94	94	1973
95	95	1888
96	96	1833
97	97	2020
98	98	2495
99	99	3109
100	100	3674
101	101	4071
102	102	4058
103	103	4020
104	104	3650
105	105	3571
106	106	3515
107	107	3703
108	108	4152
109	109	4871
110	110	5737
111	111	6676
112	112	6529
113	113	5854
114	114	5408
115	115	5125
116	116	5496
117	117	5795
118	118	6363
119	119	7476
120	120	9322
121	121	11695
122	122	13287
123	123	12519
124	124	10213
125	125	8710
126	126	8230
127	127	8871
128	128	9512
129	129	10566
130	130	12774
131	131	16027
132	132	20265
133	133	24337
134	134	24975
135	135	22977
136	136	20910
137	137	21315
138	138	24456
139	139	28966
140	140	34438
141	141	38531
142	142	39938
143	143	40635
144	144	41865
145	145	43306
146	146	44634
147	147	45300
148	148	46524
149	149	48322
150	150	50806
151	151	53955
152	152	56961
153	153	57203
154	154	56115
155	155	56896
156	156	60042
157	157	64297
158	158	69583
159	159	74970
160	160	80420
161	161	84162
162	162	87840
163	163	95560
164	164	105233
165	165	114214
166	166	117407
167	167	116719
168	168	115404
169	169	113104
170	170	109059
171	171	104148
172	172	100225
173	173	97678
174	174	96420
175	175	94396
176	176	92734
177	177	89433
178	178	84319
179	179	79548
180	180	73670
181	181	67363
182	182	63203
183	183	58940
184	184	56069
185	185	53174
186	186	51167
187	187	49302
188	188	47161
189	189	44430
190	190	41496
191	191	37907
192	192	35132
193	193	32172
194	194	29492
195	195	28180
196	196	26383
197	197	25559
198	198	24138
199	199	23045
200	200	21788
201	201	20642
202	202	19090
203	203	17531
204	204	15910
205	205	15019
206	206	14043
207	207	13358
208	208	12509
209	209	11946
210	210	11377
211	211	10491
212	212	9883
213	213	9075
214	214	8302
215	215	7803
216	216	7127
217	217	6732
218	218	6333
219	219	6026
220	220	5768
221	221	5281
222	222	5034
223	223	4753
224	224	4324
225	225	3876
226	226	3665
227	227	3524
228	228	3323
229	229	3142
230	230	3020
231	231	2834
232	232	2682
233	233	2483
234	234	2299
235	235	2195
236	236	2079
237	237	1874
238	238	1889
239	239	1888
240	240	1851
241	241	1754
242	242	1733
243	243	1675
244	244	1649
245	245	1522
246	246	1507
247	247	1402
248	248	1458
249	249	1435
250	250	1389
251	251	1452
252	252	1444
253	253	1369
254	254	1496
255	255	1408
256	256	1410
257	257	1366
258	258	1348
259	259	1437
260	260	1342
261	261	1374
262	262	1419
263	263	1426
264	264	1393
265	265	1399
266	266	1451
267	267	1457
268	268	1463
269	269	1485
270	270	1487
271	271	1271
272	272	1394
273	273	1622
274	274	1384
275	275	53
