min	max	count
88	88	904
89	89	1109
90	90	1301
91	91	3098
92	92	3178
93	93	2964
94	94	2867
95	95	2862
96	96	3152
97	97	3466
98	98	3770
99	99	4158
100	100	4723
101	101	5102
102	102	5420
103	103	5676
104	104	5454
105	105	5406
106	106	5726
107	107	6002
108	108	5984
109	109	6500
110	110	6881
111	111	7440
112	112	7604
113	113	7374
114	114	7083
115	115	7307
116	116	7557
117	117	8141
118	118	8424
119	119	9484
120	120	10717
121	121	12534
122	122	14257
123	123	14134
124	124	12973
125	125	12570
126	126	13237
127	127	14479
128	128	15608
129	129	17297
130	130	20008
131	131	23638
132	132	28672
133	133	33086
134	134	34793
135	135	34400
136	136	34945
137	137	38330
138	138	43074
139	139	48439
140	140	52891
141	141	56767
142	142	60528
143	143	64383
144	144	67528
145	145	70420
146	146	72806
147	147	74972
148	148	77880
149	149	80677
150	150	83085
151	151	86558
152	152	89843
153	153	91740
154	154	92806
155	155	96467
156	156	100642
157	157	106719
158	158	112448
159	159	119460
160	160	125643
161	161	131315
162	162	139522
163	163	151477
164	164	163898
165	165	170695
166	166	167232
167	167	157011
168	168	146779
169	169	135441
170	170	124558
171	171	113678
172	172	104055
173	173	94957
174	174	87741
175	175	80549
176	176	72932
177	177	66076
178	178	58561
179	179	50558
180	180	44762
181	181	39150
182	182	34971
183	183	31154
184	184	28208
185	185	25908
186	186	23912
187	187	21756
188	188	19871
189	189	17764
190	190	16079
191	191	14665
192	192	12849
193	193	11794
194	194	10814
195	195	9930
196	196	9534
197	197	8878
198	198	8444
199	199	7998
200	200	7417
201	201	7091
202	202	6525
203	203	6071
204	204	5826
205	205	5415
206	206	5086
207	207	4761
208	208	4604
209	209	4348
210	210	4196
211	211	4014
212	212	3673
213	213	3415
214	214	3144
215	215	2974
216	216	2723
217	217	2591
218	218	2488
219	219	2480
220	220	2304
221	221	2275
222	222	2219
223	223	1967
224	224	1951
225	225	1842
226	226	1651
227	227	1599
228	228	1601
229	229	1597
230	230	1655
231	231	1615
232	232	856
233	233	808
234	234	831
235	235	733
