min	max	count
80	80	12344
81	81	12773
82	82	10908
83	83	10191
84	84	10360
85	85	11087
86	86	12183
87	87	12731
88	88	14484
89	89	17633
90	90	22690
91	91	25829
92	92	25771
93	93	22718
94	94	21249
95	95	20716
96	96	20656
97	97	21815
98	98	23893
99	99	26678
100	100	31369
101	101	34312
102	102	36205
103	103	36017
104	104	34915
105	105	34038
106	106	34623
107	107	36067
108	108	38898
109	109	42886
110	110	49760
111	111	55210
112	112	55807
113	113	52171
114	114	50154
115	115	50844
116	116	53952
117	117	56773
118	118	58426
119	119	64360
120	120	75988
121	121	91028
122	122	100556
123	123	97764
124	124	88227
125	125	84861
126	126	89878
127	127	96217
128	128	102517
129	129	110333
130	130	123482
131	131	144644
132	132	172131
133	133	194855
134	134	196056
135	135	182600
136	136	177108
137	137	184814
138	138	203073
139	139	227703
140	140	251623
141	141	271727
142	142	284142
143	143	291335
144	144	298774
145	145	305733
146	146	305768
147	147	309276
148	148	318010
149	149	329767
150	150	342680
151	151	358341
152	152	372359
153	153	376115
154	154	373587
155	155	383969
156	156	407017
157	157	433441
158	158	465300
159	159	498620
160	160	525414
161	161	554321
162	162	592669
163	163	652301
164	164	726034
165	165	775540
166	166	774098
167	167	750764
168	168	714241
169	169	676153
170	170	630958
171	171	586550
172	172	550072
173	173	521824
174	174	495027
175	175	468714
176	176	440365
177	177	407759
178	178	372018
179	179	335799
180	180	300991
181	181	270069
182	182	244667
183	183	224689
184	184	207145
185	185	193539
186	186	182206
187	187	171292
188	188	160269
189	189	148659
190	190	135708
191	191	123715
192	192	112338
193	193	103372
194	194	95446
195	195	88713
196	196	83835
197	197	79982
198	198	76162
199	199	72458
200	200	68665
201	201	64444
202	202	59501
203	203	54742
204	204	50424
205	205	47108
206	206	44358
207	207	41400
208	208	39769
209	209	37597
210	210	35486
211	211	33577
212	212	31500
213	213	28458
214	214	26375
215	215	24290
216	216	22814
217	217	21186
218	218	20434
219	219	19185
220	220	18381
221	221	17334
222	222	16350
223	223	15009
224	224	14180
225	225	13083
226	226	12565
227	227	11687
228	228	11299
229	229	10933
230	230	10738
231	231	10357
232	232	10094
233	233	9597
234	234	9136
235	235	8767
236	236	8230
237	237	8099
238	238	7953
239	239	8164
240	240	8081
241	241	8320
242	242	8175
243	243	7736
244	244	7719
245	245	7450
246	246	7349
247	247	8118
248	248	7129
