min	max	count
90	90	9645
91	91	10806
92	92	11039
93	93	9912
94	94	9342
95	95	9435
96	96	10279
97	97	11195
98	98	12473
99	99	14101
100	100	16042
101	101	17272
102	102	18774
103	103	19030
104	104	18592
105	105	18586
106	106	19089
107	107	20159
108	108	21849
109	109	23905
110	110	26521
111	111	29301
112	112	29747
113	113	27878
114	114	26651
115	115	27495
116	116	30096
117	117	32686
118	118	35820
119	119	39989
120	120	48103
121	121	59125
122	122	67541
123	123	66549
124	124	58952
125	125	54226
126	126	55669
127	127	60850
128	128	67801
129	129	76365
130	130	89638
131	131	110042
132	132	136560
133	133	159409
134	134	165744
135	135	160460
136	136	159665
137	137	171765
138	138	193753
139	139	221810
140	140	245721
141	141	266464
142	142	279374
143	143	289268
144	144	301290
145	145	311784
146	146	320501
147	147	329003
148	148	342078
149	149	361657
150	150	378174
151	151	397061
152	152	416510
153	153	424173
154	154	429966
155	155	446244
156	156	470934
157	157	498035
158	158	530020
159	159	556184
160	160	579232
161	161	602784
162	162	638298
163	163	696092
164	164	763249
165	165	795989
166	166	782363
167	167	747038
168	168	705821
169	169	666385
170	170	622701
171	171	578181
172	172	542809
173	173	513022
174	174	487185
175	175	459378
176	176	430272
177	177	399158
178	178	363351
179	179	327055
180	180	294823
181	181	265661
182	182	239428
183	183	218702
184	184	201553
185	185	186826
186	186	174234
187	187	161562
188	188	149514
189	189	135716
190	190	123229
191	191	111573
192	192	100722
193	193	91775
194	194	84565
195	195	78486
196	196	73567
197	197	69169
198	198	65400
199	199	60890
200	200	57187
201	201	53481
202	202	49687
203	203	46058
204	204	42559
205	205	39842
206	206	36755
207	207	34531
208	208	32578
209	209	30383
210	210	28978
211	211	26665
212	212	24657
213	213	22295
214	214	20635
215	215	19077
216	216	17337
217	217	16375
218	218	15069
219	219	14269
220	220	13222
221	221	12619
222	222	11484
223	223	10575
224	224	9587
225	225	9196
226	226	8557
227	227	7973
228	228	7532
229	229	7265
230	230	7174
231	231	6892
232	232	6619
233	233	6312
234	234	6145
235	235	5845
236	236	6114
237	237	5187
